RECEIPT_ID,USER_ID,BARCODE,FINAL_QUANTITY,FINAL_SALE,PURCHASE_DATE,SCAN_DATE,STORE_NAME
0000d256-4041-4a3e-adc4-5623fb6e0c99,63b73a7f3d310dceeabd4758,15300014978,1.0,1.54,2024-08-21,2024-08-21 14:19:06.539000+00:00,WALMART
00017e0a-7851-42fb-bfab-0baa96e23586,60842f207ac8b7729e472020,78742229751,1.0,2.54,2024-08-18,2024-08-19 15:38:56.813000+00:00,WALMART
000239aa-3478-453d-801e-66a82e39c8af,63fcd7cea4f8442c3386b589,783399746536,1.0,3.49,2024-06-18,2024-06-19 11:03:37.468000+00:00,FOOD LION
00026b4c-dfe8-49dd-b026-4c2f0fd5c6a1,6193231ae9b3d75037b0f928,47900501183,1.0,5.29,2024-07-04,2024-07-05 15:56:43.549000+00:00,RANDALLS
0002d8cd-1701-4cdd-a524-b70402e2dbc0,5dcc6c510040a012b8e76924,681131411295,1.0,1.46,2024-06-24,2024-06-24 19:44:54.247000+00:00,WALMART
000550b2-1480-4c07-950f-ff601f242152,5f850bc9cf9431165f3ac175,49200905548,1.0,3.12,2024-07-06,2024-07-06 19:27:48.586000+00:00,WALMART
00096c49-8b04-42f9-88ce-941c5e06c4a7,6144f4f1f3ef696919f54b5c,78300069942,1.0,3.59,2024-08-19,2024-08-21 17:35:21.902000+00:00,TARGET
000e1d35-15e5-46c6-b6b3-33653ed3d27e,61a6d926f998e47aad33db66,52000011227,1.0,0.98,2024-08-13,2024-08-13 18:21:07.931000+00:00,WALMART
00177c13-f50e-4fbe-839e-47dbe20a39f0,61e962f64e54c329499f2df2,78742354941,1.0,2.86,2024-07-15,2024-07-16 09:51:06.183000+00:00,WALMART
0019ec79-cbb3-41ed-b84c-cd74d04553f8,5c62145dba25631369c28f32,51500247051,1.0,10.99,2024-06-25,2024-06-25 13:15:31.270000+00:00,COSTCO
001e5563-cdec-4d46-8493-0d118a55b14c,5b5cc7cfd1c6b436c0d93abd,38000138430,1.0,2.0,2024-09-01,2024-09-03 09:58:58.757000+00:00,WALMART
001f2f3f-1746-4217-a98f-73c63c63bae2,5f57cc80a2b29216020fc68d,46000288697,1.0,0.97,2024-08-20,2024-08-22 12:53:37.811000+00:00,WALMART
0024382b-35e6-43cc-b698-133a8f192e08,63cf692c3d310dceead1af91,28400406987,1.0,2.5,2024-06-24,2024-06-25 09:46:15.389000+00:00,DOLLAR TREE STORES INC
0028d0d0-f8c5-4160-8ee6-e5b089167788,5ec16e6fd474d413da264f52,787651420677,1.0,7.48,2024-08-27,2024-08-27 17:18:23.675000+00:00,WALMART
002bc61e-2bbf-4f4e-a3b0-d7b6cbcf9bc1,667c65a986cc41b000cd5a42,72945612815,1.0,3.5,2024-07-11,2024-07-13 20:03:24.809000+00:00,WALMART
00336a75-8219-4192-9c9e-c7f7a999a36d,665dc8fae04f743a096d1810,42037102838,1.0,5.25,2024-07-27,2024-08-07 12:14:36.833000+00:00,FAMILY DOLLAR
003a80af-dce9-4b5a-8f30-f7238a110daa,602fbd997d464912daa27ef5,80878195275,1.0,7.97,2024-08-12,2024-08-12 11:30:56.943000+00:00,WALMART
003ea357-0ef3-4411-bd33-5f21cd71069c,648b91e85da6e4734208e8de,79200504588,1.0,1.25,2024-07-27,2024-07-28 15:54:24.283000+00:00,KROGER
004693de-3d5e-4f8e-974b-4f4153f9a677,64e4f566d7d4f1fdb00a6060,40945,1.0,0.99,2024-07-15,2024-07-16 10:40:48.908000+00:00,FOODS CO
00496cd0-c7ad-408e-8f8f-9e02c58686c1,646ccd2d7a342372c857db67,72250011372,1.0,2.92,2024-08-14,2024-08-14 14:52:45.054000+00:00,WALMART
004fbec5-8142-4510-95fb-b954ddd7dd63,5ecb0622ef6795140962b0c0,24100705719,1.0,2.59,2024-08-31,2024-08-31 15:21:06.297000+00:00,REAES STORE
005417b0-38ba-4324-80c6-a5fe6fa8e1c9,61cbca431a3acd27c1b1fe42,79200717834,1.0,3.67,2024-08-16,2024-08-26 06:16:41.780000+00:00,WALMART
005517fb-6013-40dc-b9cf-9546d3ece5d6,62df092c1d76344f1a3809e4,34000013142,1.0,1.25,2024-07-01,2024-07-01 16:41:09.715000+00:00,DOLLAR TREE STORES INC
005518d2-82d4-4823-a6f6-c7f935b9fb63,63a382b6b5f32149b9d70ea8,311111772428,1.0,1.39,2024-08-10,2024-08-10 14:25:29.453000+00:00,IGA
00557adc-b308-43b8-93e4-d988136d801d,5f13735b290bca14b0a69b09,36200002506,1.0,2.24,2024-08-18,2024-08-18 12:18:08.101000+00:00,WALMART
00563a29-2c72-4410-bff6-485b7ed36bb7,5fa77f895efb041284ac728e,41500007007,1.0,1.38,2024-07-04,2024-07-12 11:29:21.765000+00:00,WALMART
0056eac3-6f1e-4964-8e2b-6c7d6df40e38,6132c151e5e9e51723ce9184,70970474606,1.0,5.92,2024-07-23,2024-07-25 14:46:20.022000+00:00,WALMART
005aca9a-4764-4bbe-a8b1-019c44882f15,647ccae4a55bb77a0e28c6d6,12000171529,1.0,4.18,2024-08-10,2024-08-10 15:15:55.510000+00:00,WALMART
005d0ece-150d-4643-b570-fb702fda3e43,616745d4ca8db4070fdf96c0,38459995233,1.0,3.85,2024-06-22,2024-07-05 13:20:20.499000+00:00,DOLLAR GENERAL STORE
0061eb83-cedf-49cb-a45e-ea9d70419cd4,645c078c9f7c516a13f573fc,28400002561,1.0,0.5,2024-08-26,2024-08-26 14:41:11.298000+00:00,DOLLAR GENERAL STORE
00632ff1-6828-474b-bd7a-924229bf7073,5a618632e4b022d9fca1b6dd,3614226794444,1.0,7.99,2024-08-25,2024-08-25 17:17:15.952000+00:00,TARGET
0063f1a2-bc74-47b9-9419-78194967b209,6095d80ea1973237227afee0,78742027227,2.0,2.68,2024-06-30,2024-07-05 01:25:40.943000+00:00,WALMART
006490a1-65b3-4ec7-8130-08767846432a,617cb0e1e5e5187841b701dc,311111224057,1.0,7.99,2024-09-02,2024-09-02 12:18:56.915000+00:00,PUBLIX
006f384f-bc53-4dbd-bdfb-a566b5c5b2f9,62e99f6a48cc274645671811,43000036990,1.0,5.49,2024-06-16,2024-06-17 11:46:15.568000+00:00,MACEY'S
00729da3-2564-4616-a4ea-7426232d52e8,62e5a95ca6565cf0534c989c,34000080113,1.0,1.25,2024-08-30,2024-09-03 13:00:21.972000+00:00,FAMILY DOLLAR
00740101-0ea3-4e0b-9f44-cb4877f3714f,5b5dc4d4ed93751899c5ee24,52100096902,1.0,1.44,2024-06-17,2024-06-17 15:14:55.209000+00:00,WALMART
00766cf6-9aed-4311-9d80-f71d92e9498d,5f078063332fe914743fe729,381371190577,1.0,3.77,2024-08-11,2024-08-13 14:01:25.951000+00:00,WALMART
007d3232-3990-497f-a081-549e9e7a478b,63a8dbf101cb7c888c6ad87d,79200060688,1.0,1.25,2024-06-25,2024-06-27 21:21:53.442000+00:00,DOLLAR TREE STORES INC
007f3641-548f-4741-b8be-6285d811343d,6557a97fa225ea102b825114,71990300944,1.0,23.48,2024-08-30,2024-08-31 13:36:33.787000+00:00,WALMART
00809547-0d3d-4535-9640-7417e4bdf997,61b4ccb58c8cd2098592cfcf,24000017394,1.0,1.06,2024-09-05,2024-09-05 19:21:54.344000+00:00,WALMART
0081b222-a550-4e52-8b8f-920d12eac6ca,60b2e9a25f379e1d76b121a4,21000026494,1.0,4.88,2024-06-14,2024-06-15 12:59:26.103000+00:00,WALMART
00857af5-0434-4529-8a27-b8081328d7a7,5e308b0605005312f1165b5b,49733123457,1.0,7.63,2024-07-22,2024-08-01 20:11:13.718000+00:00,WALMART
00862b67-9988-4cb4-9b98-ddd7a8446ad8,5a8b0aabe4b0768c2967e546,875754008318,3.0,3.18,2024-07-23,2024-07-28 19:15:55.300000+00:00,WALGREENS
00877b20-322c-45bb-a645-6669a04a3f71,65a13b64021d2ea1d13e5bca,50428394700,1.0,14.99,2024-08-23,2024-08-23 07:43:39.734000+00:00,CVS
0088eb20-d6f1-405a-be04-5c37db84de49,63bcbcf63d310dceeac1cc4c,311111585387,1.0,0.18,2024-08-16,2024-08-16 16:18:54.197000+00:00,WINCO FOODS
008b1f89-fa1c-46a7-8388-1c6ca10afdb4,62a6797d7432fcef96d7b446,78742370606,1.0,1.48,2024-07-07,2024-07-07 17:09:32.321000+00:00,WALMART
008c1dcc-0f96-4b04-98c8-2a2bb63ef89d,5dc24cdb682fcf1229d04bd6,681131157339,1.0,3.18,2024-07-21,2024-07-20 19:54:23.133000+00:00,WALMART
